PHENO,V(G),SE(V(G)),V(e),SE(V(e),Vp,SE(vp),V(G)_to_Vp,SE(V(G)_to_Vp),logL,logL0,LRT,df,Pval,n
346_ZNF182,0.010413,0.051740,0.074554,0.054439,0.084966,0.016680,0.122549,0.609535,36.070,36.032,0.076,1,0.3916,53
347_ZNF239,0.102928,0.336243,0.000000,0.338591,0.102928,0.020196,0.999999,3.289582,30.365,30.291,0.148,1,0.3503,53
348_ZNF276,0.103139,0.173927,0.000000,0.174232,0.103139,0.020230,0.999999,1.689294,30.714,30.407,0.614,1,0.2166,53
349_ZNF558,0.000000,0.208746,0.072283,0.211710,0.072283,0.014460,0.000001,2.887889,40.580,40.582,0.000,1,0.5,53
350_ZNF580,0.017339,0.093733,0.040070,0.095121,0.057409,0.011315,0.302032,1.637565,46.202,46.184,0.037,1,0.4235,53
351_EGR3,0.030446,0.068386,0.000000,0.070096,0.030446,0.005976,0.999999,2.302329,59.541,58.995,1.092,1,0.148,53
352_FBN1,0.000000,0.062763,0.018624,0.063302,0.018624,0.003711,0.000001,3.370015,76.044,76.048,0.000,1,0.5,53
353_HIPK2,0.000000,0.081511,0.035120,0.081879,0.035120,0.006895,0.000001,2.320920,59.139,59.140,0.000,1,0.5,53
354_HMX1,0.056734,0.064618,0.000000,0.064330,0.056735,0.011127,0.999999,1.133877,46.295,45.687,1.218,1,0.1349,53
355_IRF4,0.034260,0.068067,0.000000,0.068899,0.034260,0.006722,0.999999,2.011045,58.731,58.374,0.716,1,0.1988,53
356_FBXL11,0.027244,0.033024,0.003162,0.032682,0.030406,0.005964,0.896017,1.074362,62.609,62.259,0.699,1,0.2016,53
357_NPAS1,0.027178,0.092968,0.000000,0.093649,0.027178,0.005333,0.999999,3.445724,64.907,64.854,0.106,1,0.3727,53
358_UHRF2,0.000000,0.088583,0.029961,0.089705,0.029961,0.005985,0.000001,2.956561,63.545,63.547,0.000,1,0.5,53
359_ZBTB22,0.000000,0.067779,0.038977,0.068556,0.038977,0.007668,0.000001,1.738956,56.491,56.491,0.000,1,0.5,53
360_ZNF529,0.027558,0.066036,0.008258,0.066167,0.035816,0.007032,0.769437,1.844708,58.364,58.327,0.073,1,0.3934,53
361_ZNF645,0.045712,0.057423,0.000308,0.056752,0.046020,0.009025,0.993306,1.233193,51.829,51.643,0.371,1,0.2711,53
362_ATG4B,0.048908,0.135273,0.021132,0.135797,0.070039,0.014031,0.698291,1.934427,39.307,39.283,0.047,1,0.4137,51
363_BTF3,0.095579,0.426679,0.000000,0.431497,0.095579,0.019115,0.999999,4.514563,29.497,29.441,0.113,1,0.3686,51
364_C16orf80,0.064567,0.113431,0.020497,0.113290,0.085064,0.017194,0.759036,1.329412,33.723,33.613,0.220,1,0.3196,50
365_ELL2,0.031860,0.112159,0.031392,0.113172,0.063253,0.012692,0.503700,1.778441,41.891,41.851,0.080,1,0.3887,51
366_IKZF4,0.000000,0.197023,0.088013,0.199897,0.088013,0.017787,0.000001,2.238574,33.965,33.965,0.000,1,0.5,51
367_MED16,0.060108,0.149759,0.000000,0.153650,0.060108,0.012021,0.999999,2.556245,39.411,39.038,0.747,1,0.1937,51
368_MRPS15,0.000000,0.243420,0.078546,0.244970,0.078547,0.015837,0.000001,3.099059,36.930,36.932,0.000,1,0.5,51
369_MTA2,0.065705,0.171214,0.000000,0.172896,0.065705,0.013141,0.999999,2.631387,40.176,39.929,0.492,1,0.2415,51
370_PRDM2,0.058298,0.071408,0.007665,0.070646,0.065963,0.013194,0.883796,1.070423,40.786,40.441,0.689,1,0.2033,51
371_SMC1A,0.000000,0.085246,0.047445,0.086218,0.047445,0.009615,0.000001,1.796753,48.329,48.329,0.000,1,0.5,50
372_TARDBP,0.056763,0.131731,0.000000,0.133018,0.056763,0.011352,0.999999,2.343375,43.916,43.690,0.454,1,0.2503,51
373_TIAL1,0.083473,0.254169,0.000000,0.257819,0.083473,0.016694,0.999999,3.088663,33.235,32.994,0.483,1,0.2435,51
374_TRIM26,0.059598,0.101191,0.000000,0.102225,0.059598,0.012037,0.999999,1.715248,41.894,41.465,0.858,1,0.1772,50
376_ZFAND3,0.068178,0.094730,0.000000,0.095375,0.068178,0.013635,0.999999,1.398907,39.599,38.987,1.224,1,0.1343,51
377_ZMYND11,0.069563,0.236953,0.000000,0.241054,0.069563,0.013912,0.999999,3.465256,36.575,36.393,0.365,1,0.273,51
378_ZNF527,0.000000,0.255630,0.066486,0.259096,0.066486,0.013765,0.000001,3.844855,41.211,41.215,0.000,1,0.5,51
379_ZNF551,0.046812,0.111871,0.000000,0.112329,0.046812,0.009362,0.999999,2.399575,49.149,49.064,0.171,1,0.3398,51
380_ZNF688,0.014999,0.134068,0.053030,0.136196,0.068028,0.013717,0.220479,1.975941,40.150,40.146,0.009,1,0.462,51
381_ZSCAN2,0.000000,0.134760,0.051592,0.137048,0.051592,0.010513,0.000001,2.612002,47.251,47.252,0.000,1,0.5,51
382_ACTB,0.000000,1.296387,0.269635,1.314246,0.269635,0.063126,0.000001,4.807926,4.784,4.788,0.000,1,0.5,41
383_Akt1,0.000000,1.509535,0.228238,1.526669,0.228239,0.054236,0.000001,6.613845,8.959,8.987,0.000,1,0.5,42
384_Akt2,0.237117,1.443972,0.000000,1.471875,0.237117,0.061808,0.999999,6.207378,3.600,3.570,0.059,1,0.4042,35
385_ATF-2,0.000000,0.795110,0.287954,0.804645,0.287955,0.064308,0.000001,2.761233,3.362,3.364,0.000,1,0.5,42
386_Cyclin.D1,0.307160,1.754273,0.000000,1.802686,0.307160,0.076331,0.999999,5.868877,-6.383,-5.448,0.000,1,0.5,41
387_Cyclin.D3,0.261347,1.948050,0.000000,1.988453,0.261348,0.068454,0.999999,7.608458,-0.092,0.209,0.000,1,0.5,38
388_CDK2,0.268489,1.750333,0.000000,1.776409,0.268489,0.064946,0.999999,6.616309,3.465,3.436,0.058,1,0.405,41
389_P15.INK4B,0.000000,0.603758,0.279584,0.604678,0.279584,0.061572,0.000001,2.159489,3.612,3.613,0.000,1,0.5,42
390_CREB,0.000000,1.283394,0.235582,1.305107,0.235582,0.056037,0.000001,5.447756,7.310,7.310,0.000,1,0.5,42
391_4E-BP1,0.264157,1.404368,0.000000,1.436216,0.264158,0.063260,0.999999,5.436963,1.228,1.273,0.000,1,0.5,42
392_GAPDH,0.000000,1.237068,0.211947,1.253209,0.211947,0.049988,0.000001,5.836685,10.117,10.129,0.000,1,0.5,42
393_GSK3alpha,0.000000,1.488203,0.205109,1.508447,0.205110,0.050264,0.000001,7.255649,10.994,11.014,0.000,1,0.5,42
394_GSK3beta,0.000000,1.712586,0.337194,1.734550,0.337194,0.078193,0.000001,5.078929,0.474,0.481,0.000,1,0.5,42
395_JunB,0.000000,2.095759,0.343773,2.124735,0.343773,0.081901,0.000001,6.096340,0.150,0.160,0.000,1,0.5,42
396_Erk_1-2_,0.163464,0.680207,0.000000,0.694825,0.163464,0.037944,0.999999,4.250632,12.686,12.540,0.293,1,0.294,42
397_Met,0.000000,1.252809,0.304773,1.269687,0.304773,0.069562,0.000001,4.110627,2.349,2.352,0.000,1,0.5,42
398_mTOR,0.000000,2.974583,0.487941,3.009510,0.487942,0.114940,0.000001,6.096182,-6.790,-6.771,0.000,1,0.5,42
399_IkBalpha,0.000000,1.384869,0.391532,1.401645,0.391533,0.088293,0.000001,3.537043,-2.823,-2.820,0.000,1,0.5,42
400_PDK1,0.000000,2.528614,0.292555,2.550247,0.292555,0.070925,0.000001,8.643208,4.724,4.818,0.000,1,0.5,42
401_p65,0.000000,3.517759,0.399622,3.571596,0.399623,0.103998,0.000001,8.802702,-2.936,-2.926,0.000,1,0.5,42
402_RhoA,0.159436,0.617575,0.000000,0.626579,0.159436,0.036321,0.999999,3.929967,14.628,14.543,0.169,1,0.3405,42
403_P70.S6.Kinase,0.000000,2.091189,0.298596,2.102597,0.298596,0.068565,0.000001,7.003398,3.504,3.535,0.000,1,0.5,42
404_STAT1,0.000000,2.009716,0.406190,2.036798,0.406191,0.094181,0.000001,4.947714,-3.418,-3.412,0.000,1,0.5,42
406_ZAP70,0.165021,0.820489,0.000000,0.836954,0.165021,0.038867,0.999999,5.071790,12.349,12.267,0.162,1,0.3434,42
407_CDX2,0.251327,0.382673,0.000000,0.383734,0.251327,0.049291,0.999999,1.526832,7.505,7.181,0.646,1,0.2107,53
408_p-EphrinB._Y324-329_,0.000001,0.515720,0.502354,0.513168,0.502355,0.098028,0.000001,1.026604,-10.737,-10.729,0.000,1,0.5,53
409_EGR4,0.395002,0.554026,0.000000,0.550501,0.395002,0.077469,0.999999,1.393666,-4.080,-4.245,0.331,1,0.2826,53
