PHENO,V(G),SE(V(G)),V(e),SE(V(e),Vp,SE(vp),V(G)_to_Vp,SE(V(G)_to_Vp),logL,logL0,LRT,df,Pval,n
ENSG00000100600,0.142983,0.121952,0.119155,0.105639,0.262139,0.059931,0.545449,0.417131,5.752,5.337,0.829,1,0.1812,42
ENSG00000100603,0.000000,0.005698,0.011442,0.006169,0.011442,0.002526,0.000001,0.497946,69.247,69.247,0.000,1,0.5,42
ENSG00000100605,0.000000,0.216139,0.161075,0.209125,0.161075,0.058356,0.000001,1.341854,4.167,4.193,0.000,1,0.5,16
ENSG00000100612,0.006254,0.009318,0.019018,0.009707,0.025271,0.005601,0.247466,0.360102,53.133,52.837,0.593,1,0.2206,42
ENSG00000100614,0.000000,0.012786,0.026677,0.014079,0.026677,0.005892,0.000001,0.479287,51.923,51.923,0.000,1,0.5,42
ENSG00000100632,0.000598,0.024283,0.043028,0.026232,0.043626,0.009637,0.013712,0.556675,41.837,41.837,0.000,1,0.4933,42
ENSG00000100650,0.003205,0.008811,0.015189,0.009139,0.018394,0.004072,0.174219,0.474810,59.583,59.529,0.109,1,0.3708,42
ENSG00000100664,0.009959,0.003832,0.000000,0.002192,0.009959,0.002397,0.999999,0.220136,75.288,72.225,6.126,1,0.006659,42
ENSG00000100697,0.000000,0.044881,0.065035,0.048002,0.065035,0.016793,0.000001,0.690095,24.277,24.277,0.000,1,0.5,31
ENSG00000100714,0.000065,0.000973,0.002298,0.001101,0.002363,0.000522,0.027405,0.411875,101.607,101.605,0.005,1,0.4714,42
ENSG00000100721,0.266326,0.164451,0.105136,0.127036,0.371462,0.086909,0.716967,0.358076,-0.773,-1.675,1.804,1,0.08961,42
ENSG00000100722,0.000000,0.001570,0.003979,0.001754,0.003979,0.000878,0.000001,0.394567,90.840,90.840,0.000,1,0.5,42
ENSG00000100726,0.000000,0.020600,0.048364,0.021758,0.048364,0.010938,0.000001,0.425935,37.178,37.185,0.000,1,0.5,40
ENSG00000100749,0.000000,0.004733,0.008920,0.004111,0.008920,0.001958,0.000001,0.530638,67.076,68.133,0.000,1,0.5,42
ENSG00000100764,0.000949,0.001659,0.002581,0.001656,0.003530,0.000785,0.268878,0.459358,93.510,93.372,0.275,1,0.2998,42
ENSG00000100796,0.000000,0.011795,0.023840,0.012908,0.023840,0.005541,0.000001,0.494743,48.779,48.780,0.000,1,0.5,38
ENSG00000100804,0.010576,0.008678,0.009688,0.007624,0.020263,0.004595,0.521903,0.385658,58.167,57.485,1.362,1,0.1216,42
ENSG00000100811,0.000000,0.005390,0.011808,0.005370,0.011808,0.002632,0.000001,0.456480,65.442,65.495,0.000,1,0.5,41
ENSG00000100813,0.001069,0.001369,0.001855,0.001306,0.002924,0.000655,0.365502,0.447725,97.510,97.244,0.531,1,0.233,42
ENSG00000100815,0.012901,0.022780,0.015495,0.021356,0.028396,0.008186,0.454330,0.766523,30.560,30.522,0.077,1,0.3906,26
ENSG00000100823,0.000776,0.005521,0.012041,0.006104,0.012816,0.002831,0.060541,0.430423,66.947,66.936,0.021,1,0.4422,42
ENSG00000100836,0.000000,0.003371,0.007575,0.003180,0.007575,0.001667,0.000001,0.445036,74.529,74.756,0.000,1,0.5,42
